Groningen Municipality level migration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
,Delfzijl,235,15,13,9,,24,294,2,11,50,13,29,12,2,17,,66,7,50,9,32,14,,15,10
,Eemsmond,9,14,1,32,43,,177,1,13,12,5,51,15,1,3,,12,0,5,7,8,0,,36,11
,Groningen,63,218,44,213,197,126,,84,977,442,328,96,73,122,80,,186,32,234,139,187,57,,209,408
,Grootegast,0,5,2,4,5,0,77,,9,9,49,2,1,64,0,,1,0,1,0,2,0,,5,71
,Haren,3,6,0,8,12,1,527,1,,46,10,7,8,2,8,,13,3,20,13,16,7,,1,12
,Hoogezand-Sappemeer,9,5,9,15,39,13,410,3,43,,13,6,8,5,94,,58,9,108,17,101,11,,3,11
,Leek,3,1,2,1,5,14,268,35,11,14,,5,8,81,1,,20,1,5,4,14,0,,4,44
,Loppersum,33,23,2,15,60,65,138,1,5,3,3,,11,6,6,,19,0,19,3,5,0,,28,9
,De Marne,3,7,7,7,7,23,74,7,3,7,6,5,,2,0,,4,5,7,1,2,3,,88,22
,Marum,0,0,0,1,2,2,101,50,3,10,100,0,3,,0,,3,0,3,1,5,1,,2,9
,Menterwolde,5,4,7,0,14,9,93,2,12,96,4,0,1,0,,,45,12,30,13,214,12,,7,9
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldambt,17,4,85,10,64,1,259,6,15,52,3,11,2,1,56,,,143,23,48,78,42,,3,2
,Pekela,13,2,38,0,18,3,73,0,3,23,9,1,0,0,11,,143,,4,99,68,35,,0,3
,Slochteren,18,6,2,9,54,9,221,0,8,124,5,11,1,2,37,,14,3,,6,29,0,,2,1
,Stadskanaal,0,0,30,1,20,4,203,0,5,25,7,2,0,4,13,,58,40,3,,92,163,,5,10
,Veendam,3,3,32,3,32,8,253,3,10,73,9,1,2,5,153,,89,79,17,69,,20,,0,6
,Vlagtwedde,3,0,97,1,57,3,89,0,3,5,1,1,0,0,2,,52,48,2,235,18,,,0,3
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,3,22,1,8,8,54,203,4,11,4,16,12,61,5,1,,4,0,4,3,6,1,,,17
,Zuidhorn,5,5,0,4,1,9,293,67,16,16,65,3,20,31,5,,4,1,5,4,3,3,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 tussen gemeenten verhuisde personen,,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,
