from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Smallingerland,Assen,18,2011,Smallingerland,Friesland
Stadskanaal,Assen,33,2011,Stadskanaal,Groningen
Súdwest.Fryslân,Assen,13,2011,Súdwest Fryslân,Friesland
Terschelling,Assen,1,2011,Terschelling,Friesland
Tynaarlo,Assen,135,2011,Tynaarlo,Drenthe
Tytsjerksteradiel,Assen,1,2011,Tytsjerksteradiel,Friesland
Veendam,Assen,25,2011,Veendam,Groningen
Vlagtwedde,Assen,16,2011,Vlagtwedde,Groningen
Vlieland,Assen,0,2011,Vlieland,Friesland
Waadhoeke,Assen,NA,2011,Waadhoeke,Friesland
Westerveld,Assen,43,2011,Westerveld,Drenthe
Westerwolde,Assen,NA,2011,Westerwolde,Groningen
Weststellingwerf,Assen,4,2011,Weststellingwerf,Friesland
Winsum,Assen,12,2011,Winsum,Groningen
De.Wolden,Assen,18,2011,De Wolden,Drenthe
Zuidhorn,Assen,22,2011,Zuidhorn,Groningen
Aa.en.Hunze,Bedum,0,2011,Aa en Hunze,Drenthe
Achtkarspelen,Bedum,1,2011,Achtkarspelen,Friesland
Ameland,Bedum,1,2011,Ameland,Friesland
Appingedam,Bedum,7,2011,Appingedam,Groningen
Assen,Bedum,5,2011,Assen,Drenthe
Bedum,Bedum,NA,2011,Bedum,Groningen
Bellingwedde,Bedum,0,2011,Bellingwedde,Groningen
het.Bildt,Bedum,0,2011,het Bildt,Friesland
Boarnsterhim,Bedum,0,2011,Boarnsterhim,Friesland
Ten.Boer,Bedum,9,2011,Ten Boer,Groningen
Borger.Odoorn,Bedum,0,2011,Borger Odoorn,Drenthe
Coevorden,Bedum,0,2011,Coevorden,Drenthe
Dantumadiel,Bedum,0,2011,Dantumadiel,Friesland
Delfzijl,Bedum,16,2011,Delfzijl,Groningen
Dongeradeel,Bedum,0,2011,Dongeradeel,Friesland
Eemsmond,Bedum,15,2011,Eemsmond,Groningen
Emmen,Bedum,0,2011,Emmen,Drenthe
Ferwerderadiel,Bedum,0,2011,Ferwerderadiel,Friesland
Franekeradeel,Bedum,0,2011,Franekeradeel,Friesland
De.Friese.Meren,Bedum,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Bedum,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Bedum,0,2011,Gaasterlân Sleat,Friesland
Groningen,Bedum,145,2011,Groningen,Groningen
Grootegast,Bedum,2,2011,Grootegast,Groningen
Haren,Bedum,7,2011,Haren,Groningen
Harlingen,Bedum,3,2011,Harlingen,Friesland
Heerenveen,Bedum,0,2011,Heerenveen,Friesland
Hoogeveen,Bedum,1,2011,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Bedum,10,2011,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Bedum,1,2011,Kollumerland en Nieuwkruisland,Friesland
Leek,Bedum,4,2011,Leek,Groningen
Leeuwarden,Bedum,3,2011,Leeuwarden,Friesland
Leeuwarderadeel,Bedum,1,2011,Leeuwarderadeel,Friesland
Lemsterland,Bedum,0,2011,Lemsterland,Friesland
Littenseradiel,Bedum,1,2011,Littenseradiel,Friesland
Loppersum,Bedum,18,2011,Loppersum,Groningen
De.Marne,Bedum,6,2011,De Marne,Groningen
Marum,Bedum,0,2011,Marum,Groningen
Menameradiel,Bedum,0,2011,Menameradiel,Friesland
Menterwolde,Bedum,2,2011,Menterwolde,Groningen
Meppel,Bedum,0,2011,Meppel,Drenthe
Midden.Drenthe,Bedum,3,2011,Midden Drenthe,Drenthe
Midden.Groningen,Bedum,NA,2011,Midden Groningen,Groningen
Noordenveld,Bedum,4,2011,Noordenveld,Drenthe
Oldambt,Bedum,3,2011,Oldambt,Groningen
Ooststellingwerf,Bedum,1,2011,Ooststellingwerf,Friesland
Opsterland,Bedum,0,2011,Opsterland,Friesland
Pekela,Bedum,3,2011,Pekela,Groningen
Schiermonnikoog,Bedum,1,2011,Schiermonnikoog,Friesland
Skarsterlân,Bedum,1,2011,Skarsterlân,Friesland
Slochteren,Bedum,1,2011,Slochteren,Groningen
Smallingerland,Bedum,3,2011,Smallingerland,Friesland
Stadskanaal,Bedum,2,2011,Stadskanaal,Groningen
Súdwest.Fryslân,Bedum,1,2011,Súdwest Fryslân,Friesland
Terschelling,Bedum,0,2011,Terschelling,Friesland
Tynaarlo,Bedum,7,2011,Tynaarlo,Drenthe
Tytsjerksteradiel,Bedum,5,2011,Tytsjerksteradiel,Friesland
Veendam,Bedum,3,2011,Veendam,Groningen
Vlagtwedde,Bedum,0,2011,Vlagtwedde,Groningen
Vlieland,Bedum,0,2011,Vlieland,Friesland
Waadhoeke,Bedum,NA,2011,Waadhoeke,Friesland
Westerveld,Bedum,0,2011,Westerveld,Drenthe
Westerwolde,Bedum,NA,2011,Westerwolde,Groningen
Weststellingwerf,Bedum,0,2011,Weststellingwerf,Friesland
Winsum,Bedum,29,2011,Winsum,Groningen
De.Wolden,Bedum,0,2011,De Wolden,Drenthe
Zuidhorn,Bedum,4,2011,Zuidhorn,Groningen
Aa.en.Hunze,Bellingwedde,5,2011,Aa en Hunze,Drenthe
Achtkarspelen,Bellingwedde,0,2011,Achtkarspelen,Friesland
Ameland,Bellingwedde,0,2011,Ameland,Friesland
Appingedam,Bellingwedde,1,2011,Appingedam,Groningen
Assen,Bellingwedde,12,2011,Assen,Drenthe
Bedum,Bellingwedde,0,2011,Bedum,Groningen
Bellingwedde,Bellingwedde,NA,2011,Bellingwedde,Groningen
het.Bildt,Bellingwedde,0,2011,het Bildt,Friesland
Boarnsterhim,Bellingwedde,0,2011,Boarnsterhim,Friesland
Ten.Boer,Bellingwedde,0,2011,Ten Boer,Groningen
Borger.Odoorn,Bellingwedde,5,2011,Borger Odoorn,Drenthe
Coevorden,Bellingwedde,0,2011,Coevorden,Drenthe
Dantumadiel,Bellingwedde,0,2011,Dantumadiel,Friesland
Delfzijl,Bellingwedde,2,2011,Delfzijl,Groningen
Dongeradeel,Bellingwedde,0,2011,Dongeradeel,Friesland
Eemsmond,Bellingwedde,0,2011,Eemsmond,Groningen
Emmen,Bellingwedde,3,2011,Emmen,Drenthe
Ferwerderadiel,Bellingwedde,0,2011,Ferwerderadiel,Friesland
Franekeradeel,Bellingwedde,0,2011,Franekeradeel,Friesland
De.Friese.Meren,Bellingwedde,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Bellingwedde,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Bellingwedde,0,2011,Gaasterlân Sleat,Friesland
Groningen,Bellingwedde,18,2011,Groningen,Groningen
Grootegast,Bellingwedde,1,2011,Grootegast,Groningen
Haren,Bellingwedde,0,2011,Haren,Groningen
Harlingen,Bellingwedde,0,2011,Harlingen,Friesland
Heerenveen,Bellingwedde,2,2011,Heerenveen,Friesland
